"event.year";"event.city";"event.id";"page";"EBU Supervisor";"Executive Producer";"Final";"First Semi-Final";"Host broadcaster";"Interval Act";"Location";"Presented by";"Second Semi-Final";"TV Director"
1956;"lugano";"lugano-1956";"event-meta";"Rolf Liebermann";;;;"SSR SRG";"Les Joyeux Rossignols";"Teatro Kursaal, Lugano, Switzerland";"Lohengrin Filipello";;"Franco Marazzi"
1957;"frankfurt";"frankfurt-1957";"event-meta";"Rolf Liebermann";;;;"ARD";;"Großer Sendesaal des Hessischen Rundfunks, Frankfurt am Main, Germany";"Anaïd Iplicjian";;
1958;"hilversum";"hilversum-1958";"event-meta";;;;;"NOS";"The Metropole Orchestra";"AVRO Studios, Hilversum, The Netherlands";"Hannie Lips";;
1959;"cannes";"cannes-1959";"event-meta";;;;;"RTF";"Franck Pourcel's Orchestra";"Palais des Festivals, Cannes, France";"Jacqueline Joubert";;
1960;"london";"london-1960";"event-meta";;;;;"BBC";"Eric Robinson's Orchestra";"Royal Festival Hall, London, United Kingdom";"Catherine (Katie) Boyle";;"Innes Lloyd"
1961;"cannes";"cannes-1961";"event-meta";;;;;"RTF";"Tessa Beaumont & Max Bozzoni";"Palais des Festivals, Cannes, France";"Jacqueline Joubert";;"Marcelle Cravanne"
1965;"naples";"naples-1965";"event-meta";"Miroslav Vilcek";;;;"RAI";"Mario del Monaco";"Sala di Concerto della RAI, Naples, Italy";"Renata Mauro";;"Romolo Siena"
1966;"luxembourg";"luxembourg-1966";"event-meta";"Clifford Brown";;;;"CLT";"Les Haricots Rouges";"Grand Auditorium de RTL, Villa Louvigny, Luxembourg, Luxembourg";"Josiane Shen";;
1967;"vienna";"vienna-1967";"event-meta";"Clifford Brown";;;;"ORF";"Wiener Sängerknaben";"Großer Festsaal der Wiener Hofburg, Vienna, Austria";"Erika Vaal";;"Herbert Fuchs"
1968;"london";"london-1968";"event-meta";"Clifford Brown";"Tom Sloan";;;"BBC";;"Royal Albert Hall, London, United Kingdom";"Catherine (Katie) Boyle";;"Stewart Morris"
1969;"madrid";"madrid-1969";"event-meta";"Clifford Brown";;;;"TVE";"La España diferente";"Teatro Real, Madrid, Spain";"Laurita Valenzuela";;"Ramon Diaz"
1970;"amsterdam";"amsterdam-1970";"event-meta";"Clifford Brown";"Warner van Kampen";;;"NOS";"Don de Lurio Dancers";"RAI Congrescentrum, Amsterdam, The Netherlands";"Willy Dobbe";;"Theo Ordeman"
1971;"dublin";"dublin-1971";"event-meta";"Clifford Brown";;;;"RTÉ";"Shannon Castle Entertainers";"Gaiety Theatre, Dublin, Ireland";"Bernadette Ní Ghallchoir";;
1972;"edinburgh";"edinburgh-1972";"event-meta";"Clifford Brown";"Bill Cotton";;;"BBC";"Tatto at Edinburgh Castle";"Usher Hall, Edinburgh, United Kingdom";"Moira Shearer";;"Terry Hughes"
1973;"luxembourg";"luxembourg-1973";"event-meta";"Clifford Brown";;;;"CLT";"Charlie Rivel";"Nouveau Théâtre, Luxembourg, Luxembourg";"Helga Guitton";;
