event.year;event.city;event.type;order.of.appearance;Country;Artist;Song;pts;Place;event.id;page
1956;Lugano;final;1;The Netherlands;Jetty Paerl;De Vogels Van Holland;;2;lugano-1956;participants
1956;Lugano;final;2;Switzerland;Lys Assia;Das Alte Karussell;;2;lugano-1956;participants
1956;Lugano;final;3;Belgium;Fud Leclerc;Messieurs Les Noyés De La Seine;;2;lugano-1956;participants
1956;Lugano;final;4;Germany;Walter Andreas Schwarz;Im Wartesaal Zum Großen Glück;;2;lugano-1956;participants
1956;Lugano;final;5;France;Mathé Altéry;Le Temps Perdu;;2;lugano-1956;participants
1956;Lugano;final;6;Luxembourg;Michèle Arnaud;Ne Crois Pas;;2;lugano-1956;participants
1956;Lugano;final;7;Italy;Franca Raimondi;Aprite Le Finestre;;2;lugano-1956;participants
1956;Lugano;final;8;The Netherlands;Corry Brokken;Voorgoed Voorbij;;2;lugano-1956;participants
1956;Lugano;final;9;Switzerland;Lys Assia;Refrain;;1;lugano-1956;participants
1956;Lugano;final;10;Belgium;Mony Marc;Le Plus Beau Jour De Ma Vie;;2;lugano-1956;participants
1956;Lugano;final;11;Germany;Freddy Quinn;So Geht Das Jede Nacht;;2;lugano-1956;participants
1956;Lugano;final;12;France;Dany Dauberson;Il Est Là;;2;lugano-1956;participants
1956;Lugano;final;13;Luxembourg;Michèle Arnaud;Les Amants De Minuit;;2;lugano-1956;participants
1956;Lugano;final;14;Italy;Tonina Torielli;Amami Se Vuoi;;2;lugano-1956;participants
1957;Frankfurt;final;1;Belgium;Bobbejaan Schoepen;Straatdeuntje;5;8;frankfurt-1957;participants
1957;Frankfurt;final;2;Luxembourg;Danièle Dupré;Tant De Peine;8;4;frankfurt-1957;participants
1957;Frankfurt;final;3;United Kingdom;Patricia Bredin;All;6;7;frankfurt-1957;participants
1957;Frankfurt;final;4;Italy;Nunzio Gallo;Corde Della Mia Chitarra;7;6;frankfurt-1957;participants
1957;Frankfurt;final;5;Austria;Bob Martin;Wohin, Kleines Pony;3;10;frankfurt-1957;participants
1957;Frankfurt;final;6;The Netherlands;Corry Brokken;Net Als Toen;31;1;frankfurt-1957;participants
1957;Frankfurt;final;7;Germany;Margot Hielscher;Telefon, Telefon;8;4;frankfurt-1957;participants
1957;Frankfurt;final;8;France;Paule Desjardins;La Belle Amour;17;2;frankfurt-1957;participants
1957;Frankfurt;final;9;Denmark;Birthe Wilke and Gustav Winckler;Skibet Skal Sejle I Nat;10;3;frankfurt-1957;participants
1957;Frankfurt;final;10;Switzerland;Lys Assia;L'enfant Que J'étais;5;8;frankfurt-1957;participants
1958;Hilversum;final;1;Italy;Domenico Modugno;Nel Blu Dipinto Di Blu;13;3;hilversum-1958;participants
1958;Hilversum;final;2;The Netherlands;Corry Brokken;Heel De Wereld;1;9;hilversum-1958;participants
1958;Hilversum;final;3;France;André Claveau;Dors Mon Amour;27;1;hilversum-1958;participants
1958;Hilversum;final;4;Luxembourg;Solange Berry;Un Grand Amour;1;9;hilversum-1958;participants
1958;Hilversum;final;5;Sweden;Alice Babs;Lilla Stjärna;10;4;hilversum-1958;participants
1958;Hilversum;final;6;Denmark;Raquel Rastenni;Jeg Rev Et Blad Ud Af Min Dagbog;3;8;hilversum-1958;participants
1958;Hilversum;final;7;Belgium;Fud Leclerc;Ma Petite Chatte;8;5;hilversum-1958;participants
1958;Hilversum;final;8;Germany;Margot Hielscher;Für Zwei Groschen Musik;5;7;hilversum-1958;participants
1958;Hilversum;final;9;Austria;Liane Augustin;Die Ganze Welt Braucht Liebe;8;5;hilversum-1958;participants
1958;Hilversum;final;10;Switzerland;Lys Assia;Giorgio;24;2;hilversum-1958;participants
