"event.year";"event.city";"page";"event.type";"Awarding.country";"Receiving.country";"A";"B";"C";"D";"E";"Jury.rank";"Jury.points";"Televoting.rank";"Televoting.points";"Total.pts";"event.id"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Albania";;;;;;;;;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Armenia";10;17;6;11;7;11;;12;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Austria";11;16;12;16;5;12;;8;3;3;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Azerbaijan";3;3;17;4;17;6;5;4;7;12;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Belarus";6;9;4;1;10;4;7;13;;7;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Belgium";7;11;1;8;8;7;4;15;;4;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Bulgaria";8;7;5;7;2;5;6;6;5;11;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Croatia";14;8;9;10;13;13;;17;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Cyprus";1;1;8;2;4;1;12;1;12;24;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Czech Republic";18;15;15;18;15;18;;9;2;2;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Estonia";15;5;18;14;18;14;;5;6;6;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Finland";12;14;13;12;11;16;;3;8;8;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Greece";4;4;11;5;12;8;3;2;10;13;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Iceland";17;10;16;17;16;17;;18;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Ireland";16;18;14;15;6;15;;14;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Israel";5;6;3;6;3;2;10;7;4;14;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Lithuania";13;13;2;9;9;10;1;11;;1;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"North Macedonia";2;2;10;3;14;3;8;16;;8;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Albania";"Switzerland";9;12;7;13;1;9;2;10;1;3;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Albania";5;5;5;8;10;6;5;15;;5;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Armenia";;;;;;;;;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Austria";14;8;2;11;5;7;4;5;6;10;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Azerbaijan";18;18;18;18;18;18;;17;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Belarus";9;12;6;9;6;10;1;2;10;11;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Belgium";6;7;9;10;1;5;6;8;3;9;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Bulgaria";11;13;15;12;9;15;;9;2;2;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Croatia";10;11;16;5;13;12;;10;1;1;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Cyprus";2;4;13;1;4;2;10;1;12;22;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Czech Republic";3;3;11;4;3;4;7;4;7;14;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Estonia";4;1;7;3;8;3;8;6;5;13;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Finland";16;16;17;15;11;17;;13;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Greece";13;9;1;13;14;9;2;3;8;10;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Iceland";17;6;12;14;12;14;;18;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Ireland";7;14;10;7;16;11;;14;;;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Israel";1;2;8;2;2;1;12;7;4;16;"lisbon-2018"
2018;"Lisbon";"voting-details";"first-semi-final";"Armenia";"Lithuania";15;17;3;16;17;13;;12;;;"lisbon-2018"
